2020-11-03 15:53:08,313 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-03 15:54:11,023 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-03 16:21:04,613 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-03 17:10:35,546 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-03 18:06:08,784 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-03 18:07:54,801 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-03 18:08:17,511 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-03 18:17:14,770 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-03 18:19:59,445 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-03 18:22:05,377 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-03 18:27:19,800 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-03 18:30:34,183 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 11:12:46,014 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 11:14:44,748 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 11:59:22,736 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 12:00:18,582 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 12:43:19,222 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 12:45:32,704 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 12:47:23,154 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 12:49:11,808 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 12:51:37,013 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 12:52:16,575 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 12:53:02,874 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 12:53:59,931 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 12:58:26,408 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 13:01:59,131 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 13:04:53,518 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 14:38:03,007 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 14:38:41,518 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 14:41:01,777 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 14:47:00,221 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 14:47:43,269 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 14:53:13,362 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 15:00:56,102 INFO Market initialised, balances: {'base': 500, 'quote': 500}
2020-11-04 15:03:54,013 INFO Market initialised, balances: {'base': 500, 'quote': 500}
