2020-11-03 18:22:23,567 INFO 500.95374548502156 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9954, ending price was 0.9945, slippage is 0.0008999999999999009.
2020-11-03 18:22:25,480 INFO 500.95374548502156 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9954, ending price was 0.9945, slippage is 0.0008999999999999009.
2020-11-03 18:22:27,689 INFO 500.95374548502156 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9954, ending price was 0.9945, slippage is 0.0008999999999999009.
2020-11-03 18:22:30,131 INFO 500.95374548502156 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9954, ending price was 0.9945, slippage is 0.0008999999999999009.
2020-11-03 18:23:36,027 INFO 500.95374548502156 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9954, ending price was 0.9945, slippage is 0.0008999999999999009.
2020-11-03 18:26:53,850 INFO 500.9518084360284 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9954, ending price was 0.9945, slippage is 0.0008999999999999009.
2020-11-03 18:26:58,907 INFO 500.9518084360284 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9954, ending price was 0.9945, slippage is 0.0008999999999999009.
2020-11-04 14:41:20,843 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.996, ending price was 0.996, slippage is 0.0.
2020-11-04 14:47:03,894 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.996, ending price was 0.996, slippage is 0.0.
2020-11-04 14:54:12,728 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.996, ending price was 0.996, slippage is 0.0.
2020-11-04 15:00:59,322 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.996, ending price was 0.996, slippage is 0.0.
2020-11-04 15:03:57,686 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9987, ending price was 0.9982, slippage is 0.000500000000000056.
2020-11-04 15:05:56,133 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9982, ending price was 0.9969, slippage is 0.0012999999999999678.
2020-11-04 15:06:52,832 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9982, ending price was 0.9969, slippage is 0.0012999999999999678.
2020-11-04 15:09:02,165 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9982, ending price was 0.9969, slippage is 0.0012999999999999678.
2020-11-04 15:13:51,321 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9982, ending price was 0.9969, slippage is 0.0012999999999999678.
2020-11-04 15:16:29,129 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9982, ending price was 0.9969, slippage is 0.0012999999999999678.
2020-11-04 15:19:35,058 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9983, ending price was 0.9969, slippage is 0.0013999999999999568.
2020-11-04 15:32:23,565 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9983, ending price was 0.9969, slippage is 0.0013999999999999568.
2020-11-04 16:19:55,142 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9961, ending price was 0.996, slippage is 9.999999999998899e-05.
2020-11-04 16:22:00,505 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9961, ending price was 0.996, slippage is 9.999999999998899e-05.
2020-11-04 16:38:00,084 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9961, ending price was 0.996, slippage is 9.999999999998899e-05.
2020-11-04 16:41:24,116 INFO 500 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9961, ending price was 0.996, slippage is 9.999999999998899e-05.
2020-11-04 16:43:42,774 INFO 500.01679125017483 USDT buy transaction on USDT/DAI market at KuCoin, starting price was 0.9961, ending price was 0.996, slippage is 9.999999999998899e-05.
2020-11-04 16:44:31,657 INFO 1000.0167912501748 USDT sell transaction on USDT/DAI market at KuCoin, starting price was 0.9961, ending price was 0.996, slippage is 9.999999999998899e-05.
2020-11-04 16:44:40,289 INFO 997.4787152856715 USDT buy transaction on USDT/DAI market at KuCoin, starting price was 0.9961, ending price was 0.996, slippage is 9.999999999998899e-05.
2020-11-04 16:44:45,990 INFO 4.504256062339801 USDT buy transaction on USDT/DAI market at KuCoin, starting price was 0.9961, ending price was 0.9961, slippage is 0.0.
